,index,damage_given,damage_received,damage_healed,toxic_damage_taken,hazard_damage_taken,burn_damage_taken,poison_damage_taken,life_orb_damage_taken,stealth_rock_damage_taken,spike_damage_taken,buff_received,recoil_damage_taken,week,trainer
11,Hydreigon,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,moof710
0,Zapdos,148.0,-139.0,64.0,0.0,0.0,0.0,0.0,0.0,-25.0,0.0,-1.0,0.0,1,mattchumaniac44
1,Garchomp,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,1,mattchumaniac44
2,Rotom-Heat,94.0,-82.0,6.0,0.0,0.0,0.0,0.0,0.0,-24.0,0.0,-2.0,0.0,1,mattchumaniac44
3,Hitmonlee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,mattchumaniac44
4,Metagross,196.0,-88.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,0.0,0.0,0.0,1,mattchumaniac44
5,Granbull,85.0,-88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,mattchumaniac44
6,Aromatisse,9.0,-147.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,notabot1234
7,Braviary,55.0,-105.0,37.0,0.0,0.0,0.0,0.0,0.0,-25.0,0.0,0.0,-7.0,1,notabot1234
8,Mamoswine,116.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,notabot1234
9,Heatran,39.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,notabot1234
10,Haxorus,63.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1,notabot1234
11,Porygon-Z,115.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1,notabot1234
0,Latias,145.0,-60.0,0.0,0.0,0.0,0.0,0.0,-40.0,0.0,0.0,-4.0,0.0,1,thewillager
1,Ninetales,52.0,-93.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,thewillager
2,Starmie,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,thewillager
3,Klefki,0.0,-112.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,thewillager
4,Leafeon,19.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,thewillager
5,Azelf,61.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,thewillager
6,Azumarill,0.0,-87.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,joji27
7,Jirachi,218.0,-82.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-12.0,0.0,0.0,1,joji27
8,Qwilfish,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.0,-12.0,0.0,0.0,1,joji27
9,Politoed,0.0,-52.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.0,-24.0,0.0,0.0,1,joji27
10,Kingdra,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.0,-25.0,-4.0,0.0,1,joji27
11,Thundurus,60.0,-56.0,6.0,0.0,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,1,joji27
0,Stoutland,84.0,-80.0,0.0,0.0,0.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,1,6utter
1,Excadrill,76.0,-73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6utter
2,Tyranitar,55.0,-68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,1,6utter
3,Gardevoir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6utter
4,Jolteon,0.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6utter
5,Seismitoad,211.0,-188.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6utter
6,Hippowdon,71.0,-125.0,38.0,0.0,0.0,0.0,0.0,0.0,-13.0,0.0,-1.0,0.0,1,gscalfaro7
7,Victini,72.0,-56.0,0.0,0.0,0.0,0.0,0.0,-19.0,-25.0,0.0,-3.0,0.0,1,gscalfaro7
8,Weavile,0.0,-76.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.0,0.0,0.0,0.0,1,gscalfaro7
9,Milotic,14.0,-32.0,0.0,0.0,0.0,-42.0,0.0,0.0,-25.0,0.0,0.0,0.0,1,gscalfaro7
10,Drapion,141.0,-55.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.0,0.0,0.0,0.0,1,gscalfaro7
11,Mew,125.0,-82.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.0,0.0,0.0,0.0,1,gscalfaro7
0,Keldeo,26.0,0.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,ryanmali
1,Ferrothorn,0.0,-94.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,-1.0,0.0,1,ryanmali
2,Donphan,84.0,-93.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,0.0,0.0,0.0,1,ryanmali
3,Goodra,301.0,-143.0,61.0,-6.0,0.0,0.0,0.0,0.0,-12.0,0.0,-2.0,0.0,1,ryanmali
4,Florges,75.0,-52.0,7.0,0.0,0.0,0.0,0.0,0.0,-12.0,0.0,-1.0,0.0,1,ryanmali
5,Magmortar,66.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,ryanmali
6,Entei,99.0,-75.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.0,0.0,0.0,0.0,1,bman5422
7,Dragonite,59.0,-75.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.0,0.0,0.0,0.0,1,bman5422
8,Empoleon,0.0,-112.0,18.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,1,bman5422
9,Xatu,8.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,bman5422
10,Galvantula,125.0,-51.0,9.0,0.0,0.0,0.0,0.0,-58.0,0.0,0.0,0.0,0.0,1,bman5422
11,Tangrowth,191.0,-139.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1,bman5422
0,Latios,123.0,-88.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,0.0,-1.0,0.0,1,tomatotommaso
1,Shuckle,1.0,-54.0,0.0,0.0,0.0,-21.0,0.0,0.0,-25.0,0.0,0.0,0.0,1,tomatotommaso
2,Claydol,30.0,-94.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,1,tomatotommaso
3,Gengar,82.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,tomatotommaso
4,Bisharp,0.0,-88.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,0.0,0.0,0.0,1,tomatotommaso
5,Rotom-Wash,38.0,-50.0,25.0,0.0,0.0,-51.0,0.0,0.0,-24.0,0.0,-1.0,0.0,1,tomatotommaso
6,Clefable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,jmils9
7,Zoroark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,jmils9
8,Salamence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,jmils9
9,Swampert,47.0,-108.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,jmils9
10,Alakazam,408.0,-90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,jmils9
11,Scizor,19.0,-76.0,0.0,0.0,0.0,-24.0,0.0,0.0,0.0,0.0,-1.0,0.0,1,jmils9
0,Latias,527.0,-145.0,112.0,0.0,0.0,0.0,0.0,0.0,-12.0,0.0,12.0,0.0,2,thewillager
1,Starmie,4.0,-53.0,0.0,0.0,0.0,0.0,0.0,-10.0,-12.0,-12.0,-1.0,0.0,2,thewillager
2,Klefki,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,2,thewillager
3,Diancie,0.0,-28.0,30.0,0.0,0.0,0.0,0.0,0.0,-12.0,0.0,0.0,0.0,2,thewillager
4,Azelf,11.0,-36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,thewillager
5,Nidoqueen,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,2,thewillager
6,Yanmega,23.0,-91.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,0.0,2.0,0.0,2,ryanmali
7,Ferrothorn,41.0,-112.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,ryanmali
8,Donphan,24.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,ryanmali
9,Hoopa,12.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,ryanmali
10,Meloetta,116.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,ryanmali
11,Florges-Orange,49.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,ryanmali
0,Infernape,108.0,0.0,0.0,0.0,0.0,0.0,-48.0,-40.0,-12.0,0.0,0.0,0.0,2,sonofringo
1,Lanturn,143.0,-15.0,25.0,0.0,0.0,0.0,-12.0,0.0,-13.0,0.0,0.0,0.0,2,sonofringo
2,Gliscor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,sonofringo
3,Golurk,45.0,0.0,6.0,0.0,0.0,0.0,-12.0,0.0,-6.0,0.0,0.0,0.0,2,sonofringo
4,Skarmory,93.0,-178.0,122.0,0.0,0.0,0.0,0.0,0.0,-12.0,0.0,0.0,-32.0,2,sonofringo
5,Cresselia,52.0,-306.0,242.0,0.0,0.0,0.0,0.0,0.0,-13.0,0.0,8.0,0.0,2,sonofringo
6,Garchomp,102.0,0.0,0.0,-36.0,0.0,0.0,0.0,-15.0,-12.0,-37.0,0.0,0.0,2,mattchumaniac44
7,Umbreon,0.0,-91.0,54.0,0.0,0.0,0.0,0.0,0.0,-38.0,-25.0,0.0,0.0,2,mattchumaniac44
8,Feraligatr,57.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,-24.0,2.0,0.0,2,mattchumaniac44
9,Metagross,325.0,-39.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.0,-50.0,2.0,0.0,2,mattchumaniac44
10,Roselia,0.0,-109.0,95.0,0.0,0.0,0.0,0.0,0.0,-61.0,-25.0,0.0,0.0,2,mattchumaniac44
11,Jellicent,15.0,-138.0,100.0,0.0,0.0,0.0,0.0,0.0,-37.0,-25.0,-1.0,0.0,2,mattchumaniac44
0,Moltres,81.0,-31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,crystopperpkmn
1,Landorus-Therian,256.0,-63.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.0,0.0,2.0,0.0,2,crystopperpkmn
2,Sylveon,95.0,-90.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,crystopperpkmn
3,Flygon,82.0,-95.0,18.0,0.0,0.0,0.0,0.0,0.0,-23.0,0.0,0.0,0.0,2,crystopperpkmn
4,Venusaur,76.0,-57.0,9.0,0.0,0.0,0.0,0.0,0.0,-13.0,0.0,-1.0,0.0,2,crystopperpkmn
5,Volcanion,0.0,-75.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.0,0.0,-1.0,0.0,2,crystopperpkmn
6,Nidoking,35.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,bman5422
7,Entei,196.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,2,bman5422
8,Dragonite,90.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2,bman5422
9,Empoleon,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,bman5422
10,Xatu,60.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,bman5422
11,Galvantula,30.0,-90.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,-1.0,0.0,2,bman5422
0,Aromatisse,738.0,-245.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,2,notabot1234
1,Espeon,56.0,-36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,notabot1234
2,Mamoswine,72.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,2,notabot1234
3,Tentacruel,58.0,-112.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,notabot1234
4,Heatran,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,notabot1234
5,Tornadus-Therian,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,notabot1234
6,Greninja,36.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,moof710
7,Togekiss,0.0,-88.0,12.0,0.0,0.0,0.0,0.0,0.0,-24.0,0.0,-1.0,0.0,2,moof710
8,Blissey,366.0,-554.0,466.0,0.0,0.0,0.0,0.0,0.0,-12.0,0.0,-5.0,0.0,2,moof710
9,Machamp,157.0,-38.0,0.0,0.0,0.0,-56.0,0.0,0.0,-6.0,0.0,0.0,0.0,2,moof710
10,Staraptor,19.0,-76.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.0,0.0,-2.0,0.0,2,moof710
11,Hydreigon,15.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,moof710
0,Serperior,73.0,-25.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2,kaiser cauto
1,Ditto,15.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,kaiser cauto
2,Thundurus-Therian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,kaiser cauto
3,Forretress,0.0,-31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,kaiser cauto
4,Suicune,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,kaiser cauto
5,Snorlax,485.0,-137.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2,kaiser cauto
6,Hippowdon,44.0,-155.0,61.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,2,gscalfaro7
7,Victini,11.0,-66.0,0.0,0.0,0.0,0.0,0.0,-9.0,-25.0,0.0,-3.0,0.0,2,gscalfaro7
8,Milotic,0.0,-88.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,0.0,0.0,0.0,2,gscalfaro7
9,Drapion,43.0,-88.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,0.0,0.0,0.0,2,gscalfaro7
10,Rotom-Mow,73.0,-88.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,0.0,-6.0,0.0,2,gscalfaro7
11,Mew,32.0,-88.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,0.0,0.0,0.0,2,gscalfaro7
0,Excadrill,4.0,-91.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,0.0,0.0,2,6utter
1,Tyranitar,67.0,-70.0,32.0,0.0,0.0,0.0,0.0,0.0,-62.0,0.0,0.0,0.0,2,6utter
2,Gardevoir,96.0,-75.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.0,0.0,1.0,0.0,2,6utter
3,Crobat,131.0,-131.0,237.0,0.0,0.0,0.0,0.0,0.0,-174.0,0.0,0.0,-32.0,2,6utter
4,Cacturne,100.0,-63.0,40.0,0.0,0.0,0.0,0.0,0.0,-77.0,0.0,-2.0,0.0,2,6utter
5,Seismitoad,0.0,-90.0,14.0,0.0,0.0,0.0,0.0,0.0,-24.0,0.0,-1.0,0.0,2,6utter
6,Clefable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,jmils9
7,Salamence,214.0,0.0,32.0,0.0,0.0,0.0,0.0,-51.0,0.0,0.0,-5.0,0.0,2,jmils9
8,Gallade,37.0,-74.0,0.0,0.0,0.0,0.0,0.0,-26.0,0.0,0.0,3.0,0.0,2,jmils9
9,Swampert,188.0,-124.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,jmils9
10,Alakazam,28.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,jmils9
11,Scizor,53.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,jmils9
0,Latios,272.0,-57.0,0.0,0.0,0.0,0.0,0.0,-43.0,0.0,0.0,-8.0,0.0,2,tomatotommaso
1,Shuckle,1.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,tomatotommaso
2,Gengar,97.0,-94.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,0.0,2,tomatotommaso
3,Bisharp,50.0,-31.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,0.0,0.0,0.0,2,tomatotommaso
4,Rotom-Wash,9.0,-87.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,2,tomatotommaso
5,Virizion,119.0,-89.0,45.0,0.0,0.0,-37.0,0.0,-19.0,0.0,0.0,0.0,0.0,2,tomatotommaso
6,Azumarill,149.0,-113.0,25.0,0.0,0.0,-12.0,0.0,0.0,0.0,0.0,5.0,0.0,2,joji27
7,Jirachi,91.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,2,joji27
8,Ludicolo,31.0,-91.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,0.0,-1.0,0.0,2,joji27
9,Politoed,66.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,2,joji27
10,Kingdra,80.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,2,joji27
11,Thundurus,103.0,-106.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,joji27
0,Moltres,107.0,-71.0,0.0,0.0,0.0,0.0,0.0,-29.0,0.0,0.0,0.0,0.0,3,crystopperpkmn
1,Celebi,0.0,-71.0,-4.0,0.0,0.0,0.0,0.0,0.0,-25.0,0.0,0.0,0.0,3,crystopperpkmn
2,Sylveon,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.0,0.0,0.0,0.0,3,crystopperpkmn
3,Flygon,0.0,-94.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,3,crystopperpkmn
4,Venusaur,57.0,-116.0,28.0,0.0,0.0,0.0,0.0,0.0,-12.0,0.0,0.0,0.0,3,crystopperpkmn
5,Registeel,105.0,-118.0,60.0,0.0,0.0,0.0,0.0,0.0,-18.0,0.0,0.0,0.0,3,crystopperpkmn
6,Latios,64.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,tomatotommaso
7,Shuckle,4.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,tomatotommaso
8,Claydol,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,tomatotommaso
9,Gengar,113.0,-71.0,0.0,0.0,0.0,0.0,0.0,-29.0,0.0,0.0,0.0,0.0,3,tomatotommaso
10,Rotom-Wash,34.0,-112.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,tomatotommaso
11,Virizion,255.0,-62.0,0.0,0.0,0.0,0.0,0.0,-38.0,0.0,0.0,4.0,0.0,3,tomatotommaso
0,Serperior,9.0,-199.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,kaiser cauto
1,Bronzong,0.0,-55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,kaiser cauto
2,Ditto,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,kaiser cauto
3,Thundurus-Therian,485.0,-77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,kaiser cauto
4,Suicune,20.0,-72.0,91.0,0.0,0.0,-36.0,0.0,0.0,0.0,0.0,0.0,0.0,3,kaiser cauto
5,Snorlax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,kaiser cauto
6,Lucario,18.0,-91.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,0.0,0.0,0.0,3,bman5422
7,Entei,72.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,bman5422
8,Dragonite,59.0,-81.0,0.0,0.0,0.0,0.0,0.0,-19.0,0.0,0.0,4.0,0.0,3,bman5422
9,Empoleon,10.0,-100.0,6.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,3,bman5422
10,Galvantula,59.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,bman5422
11,Tangrowth,185.0,-123.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,bman5422
0,Zapdos,126.0,-83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,mattchumaniac44
1,Umbreon,103.0,-72.0,39.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,mattchumaniac44
2,Rotom-Heat,84.0,-17.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,mattchumaniac44
3,Metagross,15.0,-87.0,0.0,0.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,3,mattchumaniac44
4,Roselia,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,mattchumaniac44
5,Jellicent,27.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,3,mattchumaniac44
6,Azumarill,126.0,-44.0,0.0,0.0,0.0,0.0,0.0,-19.0,-24.0,-13.0,0.0,0.0,3,joji27
7,Jirachi,137.0,-58.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.0,-24.0,0.0,0.0,3,joji27
8,Gligar,0.0,-75.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.0,0.0,0.0,0.0,3,joji27
9,Politoed,68.0,-69.0,0.0,-6.0,0.0,0.0,0.0,0.0,-13.0,-12.0,0.0,0.0,3,joji27
10,Kingdra,51.0,-51.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.0,-25.0,-4.0,0.0,3,joji27
11,Thundurus,77.0,-58.0,6.0,0.0,0.0,0.0,0.0,0.0,-48.0,0.0,0.0,0.0,3,joji27
0,Latias,243.0,-276.0,482.0,0.0,0.0,0.0,-268.0,0.0,0.0,0.0,-1.0,0.0,3,thewillager
1,Starmie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,thewillager
2,Klefki,100.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,thewillager
3,Azelf,157.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,thewillager
